word,topic_0,topic_1,topic_2,topic_3
Hound,0.0002975145180243999,6.1940145315020345e-06,6.623310127906734e-06,4.8545562094659545e-06
Rural area,7.200321306299884e-06,7.307365649467101e-06,0.007701885420829058,0.0003635440662037581
Gibbon,0.0002987880725413561,6.200013103807578e-06,6.611420303670457e-06,4.868539690505713e-06
Fiction,0.0002535928797442466,6.256075721466914e-06,0.00016376747225876898,4.906564754492138e-06
Marsh,6.774056146241492e-06,6.778916031180415e-06,0.0009662958909757435,4.877085302723572e-06
Operating theater,6.722936177538941e-06,0.00104178034234792,6.608495368709555e-06,4.8458882702107076e-06
Sahara,6.843234586995095e-06,6.273527560551884e-06,0.0011968729086220264,4.899817213299684e-06
Coral reef,3.2469826692249626e-05,0.003406320232897997,6.676199518551584e-06,4.901775810139952e-06
Body of water,6.867463525850326e-06,0.002231412101536989,3.0783237889409065e-05,4.0028633520705625e-05
Steppe,6.850064437458059e-06,6.294046670518583e-06,0.0012149750255048275,0.0006703525432385504
Industry,6.7692126322072e-06,0.00017883491818793118,0.00019067840185016394,4.879783773503732e-06
Palace,6.724757440679241e-06,0.00017690016829874367,7.112879757187329e-06,4.862075911660213e-06
Vineyard,6.72110945743043e-06,6.180348918860545e-06,6.61239164401195e-06,9.059059084393084e-05
Street dog,0.0002526401076465845,6.225905963219702e-06,6.661990937573137e-06,1.755989433149807e-05
Elapidae,6.848947123216931e-06,7.33334263713914e-06,6.683633728243876e-06,0.0006229552673175931
Adventure game,6.731501343892887e-06,8.153689122991636e-06,0.001105292933061719,4.860360604652669e-06
Foot,0.00044130775495432317,6.213994765857933e-06,6.645657322223997e-06,6.210523224581266e-06
Airplane,6.719904376950581e-06,6.183178356877761e-06,0.00019092822913080454,4.8490364861208946e-06
Driftwood,6.733080681442516e-06,6.2024259932513814e-06,8.399391845159698e-06,0.00021100358571857214
Canis,0.0003024565812665969,6.229255632206332e-06,6.671763003396336e-06,6.598888285225257e-05
Seaduck,6.7278751885169186e-06,6.1859800553065725e-06,0.0002933414070867002,4.951880782755325e-06
Romance,7.2608368100191e-06,8.674517630424816e-06,6.616965038119815e-06,8.34904276416637e-05
Plantation,6.733395366609329e-06,6.206952548382105e-06,6.653559012193e-06,0.0006008445052430034
Humpback whale,6.7652049438038375e-06,0.0010018092580139637,1.1212007848371286e-05,4.870568773185369e-06
