word,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
maple,2.8351043965813005e-06,0.0007795080891810358,1.0408830348751508e-06,2.9596255899377866e-06,2.4405703697993886e-06,2.1529065179493045e-06
snapshot,2.9529155654017814e-06,0.0004931428120471537,0.0035781741607934237,0.0006530766258947551,0.00045502596185542643,4.0692160837352276e-05
restaurant,2.836765133906738e-06,2.6589841581881046e-06,1.0404869499325287e-06,0.0005478635430335999,2.439713853163994e-06,2.1543155526160263e-06
coral reef fish,2.841785317286849e-06,2.6600469027471263e-06,1.041706241267093e-06,2.960721076306072e-06,0.004129054024815559,2.1563421341852518e-06
ice,0.003276193281635642,0.0034702259581536055,0.0031298091635107994,3.0023336421436397e-06,0.0001264377497136593,2.1917351205047453e-06
estate,2.839910393959144e-06,2.659506662894273e-06,1.0428045698063215e-06,0.0005480035906657577,2.4446469524264103e-06,0.00039896636735647917
coral,2.840284196281573e-06,2.6614247872203123e-06,0.0007476244354620576,2.9621612611663295e-06,2.441147671561339e-06,2.1576340714091202e-06
tribal chief,2.83796657640778e-06,2.6576810796541395e-06,1.0408105026726844e-06,2.959970061056083e-06,2.4414316612819675e-06,0.0006317991064861417
badlands,2.8390763873176184e-06,2.663456143636722e-06,0.00028385783662088215,1.0012857273977716e-05,0.0033463553991168737,0.0006326851435005665
slope,2.8353695142868673e-06,2.6574327876005555e-06,1.040832330545527e-06,2.958479853987228e-06,0.0007156296633183956,2.1535656742344145e-06
dress,0.0020453734323382378,0.004495043773204088,1.0482616517037968e-06,1.840515687945299e-05,0.0008650601957924664,0.005793820600956678
bird's-eye view,2.846328243322205e-06,2.671056563485763e-06,1.0445912721479544e-06,0.0005481258849613369,0.001998615451157093,0.00022024611826054752
costume,2.945074811577797e-06,2.6708783025242155e-06,0.0003047761565539986,2.975377583425143e-06,0.0007154502090997994,2.164284296668484e-06
plain,0.00012207560939714313,2.6801915282703703e-06,7.447366806445643e-05,2.982610794788343e-06,0.005502589046955109,2.1719015421695076e-06
tusk,2.838545697159134e-06,3.3808012176450575e-06,0.00019341129518579692,2.9594846182590118e-06,0.0007058402406983078,2.156996288249502e-06
savanna,0.00032211290090344846,0.004225240554660559,0.0011080227559432387,2.9765922135993605e-06,0.0010588890872895718,4.40067060480942e-06
operating theater,2.8370275231281994e-06,2.6578888991934946e-06,1.0405693728898768e-06,2.9588468350993935e-06,2.4388857582380297e-06,0.002954986412078142
shark,0.0002763574884738773,2.673798917385284e-06,1.0462362070029485e-06,2.9773502774332883e-06,2.455806907164515e-06,0.011764424853026867
lava tube,2.8441493213904323e-06,2.6643172077456256e-06,1.264198999706423e-06,2.963441374959075e-06,0.0011693279957398772,2.1583523448498454e-06
bed sheet,2.835875193341053e-06,2.6568777684587985e-06,1.0410507229607902e-06,2.9598543278552825e-06,0.0033466729801148176,2.153935383830685e-06
hognose snake,2.8402732823451515e-06,2.658051243997761e-06,1.0417559224151773e-06,2.958265440611285e-06,2.4392859359068098e-06,0.002954913303256035
walrus,2.8376118734740885e-06,0.0007792825344949961,1.040658730744326e-06,2.9585194170067552e-06,2.4388764359173365e-06,2.1670705336873652e-06
valdivian temperate rain forest,2.8370004656608216e-06,2.656654942256864e-06,0.00023801522911526263,2.95823724627553e-06,3.850015491480008e-05,2.153861487386166e-06
skateboarding,2.8372844553814502e-06,2.657245204318315e-06,1.9970017092418857e-05,0.0006528269732370973,2.4384532935073366e-06,2.153249397451873e-06
fashion,3.0566277473553782e-06,0.004499347414821386,0.0023465612903237343,2.98444319923874e-06,2.5151528006972512e-06,0.0003990831901319325
beauty,0.004548480734229088,0.000174086177139543,0.0014224329497665167,1.5689196516177617e-05,2.4623006993351737e-06,0.001971450401470065
extinction,2.838009777406114e-06,2.6576863092486747e-06,1.0411400808152393e-06,2.9592927148769377e-06,2.4427824882877758e-06,0.00039883036515675485
whale shark,2.836986823240295e-06,2.6565560347080464e-06,0.00030417711241170764,2.9588072720798664e-06,2.44194848164625e-06,2.326408775843447e-06
blazer,2.8360348096612142e-06,2.6557454475550912e-06,1.0400484597994364e-06,2.9566861030616565e-06,2.438211367916665e-06,0.0003989750985056162
leisure,0.010414655320346355,0.000492167891934514,0.00344772357493639,0.0005480351974256337,0.0012596109881997108,1.157350925495848e-05
street performance,0.000525448122061789,2.6559682737570256e-06,1.0404791055407259e-06,2.9577463465102483e-06,2.4386183667957084e-06,2.1526582258957205e-06
bridge,2.8501528959168354e-06,0.0007742212037555873,0.0003051766543649137,0.0005540898418985307,2.451216232657316e-06,2.162377995773568e-06
ice cap,0.00019058295583818108,0.0026097579393535852,0.0006637154729105532,2.981188799822121e-06,0.0001610539184184745,2.1669527541234856e-06
